Dates,Times,CheckoutDur,title
2012-07-07,16:46:00,23,"fault in our stars"
2012-07-09,14:28:00,8,"fault in our stars"
2012-07-09,13:15:00,12,"fault in our stars"
2012-07-09,17:57:00,11,"fault in our stars"
2012-07-09,18:31:00,21,"fault in our stars"
2012-07-09,12:35:00,25,"fault in our stars"
2012-07-10,14:25:00,10,"fault in our stars"
2012-07-10,17:19:00,27,"fault in our stars"
2012-07-11,13:01:00,16,"fault in our stars"
2012-07-11,18:14:00,17,"fault in our stars"
2012-07-14,16:39:00,10,"fault in our stars"
2012-07-14,16:21:00,20,"fault in our stars"
2012-07-14,17:13:00,21,"fault in our stars"
2012-07-16,12:31:00,7,"fault in our stars"
2012-07-16,18:21:00,20,"fault in our stars"
2012-07-16,15:36:00,22,"fault in our stars"
2012-07-16,13:33:00,24,"fault in our stars"
2012-07-16,16:15:00,26,"fault in our stars"
2012-07-16,16:42:00,33,"fault in our stars"
2012-07-17,15:40:00,7,"fault in our stars"
2012-07-17,13:06:00,20,"fault in our stars"
2012-07-17,17:52:00,21,"fault in our stars"
2012-07-18,14:21:00,0,"fault in our stars"
2012-07-18,13:25:00,19,"fault in our stars"
2012-07-18,12:10:00,21,"fault in our stars"
2012-07-18,15:45:00,35,"fault in our stars"
2012-07-19,15:24:00,0,"fault in our stars"
2012-07-20,15:53:00,9,"fault in our stars"
2012-07-21,16:36:00,18,"fault in our stars"
2012-07-21,16:19:00,29,"fault in our stars"
2012-07-22,13:48:00,14,"fault in our stars"
2012-07-23,18:59:00,13,"fault in our stars"
2012-07-23,17:53:00,18,"fault in our stars"
2012-07-23,12:20:00,21,"fault in our stars"
2012-07-23,10:02:00,22,"fault in our stars"
2012-07-23,12:20:00,24,"fault in our stars"
2012-07-24,17:33:00,10,"fault in our stars"
2012-07-24,17:10:00,17,"fault in our stars"
2012-07-24,16:20:00,18,"fault in our stars"
2012-07-24,15:08:00,25,"fault in our stars"
2012-07-25,14:41:00,9,"fault in our stars"
2012-07-25,19:29:00,13,"fault in our stars"
2012-07-25,13:18:00,19,"fault in our stars"
2012-07-26,14:38:00,14,"fault in our stars"
2012-07-26,13:35:00,25,"fault in our stars"
2012-07-28,16:32:00,10,"fault in our stars"
2012-07-29,15:39:00,3,"fault in our stars"
2012-07-30,19:20:00,6,"fault in our stars"
2012-07-31,14:35:00,4,"fault in our stars"
2012-07-31,13:03:00,18,"fault in our stars"
2012-07-31,13:41:00,19,"fault in our stars"
2012-07-31,14:03:00,21,"fault in our stars"
2012-08-01,13:19:00,0,"fault in our stars"
2012-08-01,15:56:00,18,"fault in our stars"
2012-08-01,15:26:00,21,"fault in our stars"
2012-08-02,11:10:00,4,"fault in our stars"
2012-08-02,18:32:00,11,"fault in our stars"
2012-08-02,12:24:00,19,"fault in our stars"
2012-08-03,16:58:00,44,"fault in our stars"
2012-08-04,16:37:00,3,"fault in our stars"
2012-08-04,12:29:00,31,"fault in our stars"
2012-08-04,17:36:00,42,"fault in our stars"
2012-08-05,13:58:00,9,"fault in our stars"
2012-08-07,14:51:00,7,"fault in our stars"
2012-08-07,13:10:00,16,"fault in our stars"
2012-08-07,14:17:00,30,"fault in our stars"
2012-08-08,10:16:00,3,"fault in our stars"
2012-08-08,17:35:00,9,"fault in our stars"
2012-08-08,17:08:00,12,"fault in our stars"
2012-08-08,18:23:00,13,"fault in our stars"
2012-08-08,17:12:00,37,"fault in our stars"
2012-08-09,12:37:00,4,"fault in our stars"
2012-08-09,18:53:00,13,"fault in our stars"
2012-08-09,11:38:00,34,"fault in our stars"
2012-08-10,11:33:00,7,"fault in our stars"
2012-08-10,16:36:00,10,"fault in our stars"
2012-08-11,12:39:00,24,"fault in our stars"
2012-08-11,15:44:00,26,"fault in our stars"
2012-08-11,14:07:00,37,"fault in our stars"
2012-08-11,17:24:00,42,"fault in our stars"
2012-08-11,17:21:00,42,"fault in our stars"
2012-08-12,16:40:00,26,"fault in our stars"
2012-08-12,14:13:00,36,"fault in our stars"
2012-08-13,13:22:00,2,"fault in our stars"
2012-08-13,15:08:00,6,"fault in our stars"
2012-08-13,17:47:00,7,"fault in our stars"
2012-08-13,18:39:00,8,"fault in our stars"
2012-08-13,18:42:00,39,"fault in our stars"
2012-08-14,17:31:00,6,"fault in our stars"
2012-08-14,17:50:00,11,"fault in our stars"
2012-08-14,16:47:00,28,"fault in our stars"
2012-08-14,19:03:00,47,"fault in our stars"
2012-08-15,19:13:00,1,"fault in our stars"
2012-08-15,16:55:00,41,"fault in our stars"
2012-08-16,13:12:00,6,"fault in our stars"
2012-08-16,17:52:00,22,"fault in our stars"
2012-08-16,19:33:00,32,"fault in our stars"
2012-08-16,16:11:00,38,"fault in our stars"
2012-08-16,13:55:00,46,"fault in our stars"
2012-08-16,15:48:00,48,"fault in our stars"
2012-08-17,12:57:00,18,"fault in our stars"
2012-08-18,15:37:00,4,"fault in our stars"
2012-08-18,13:17:00,7,"fault in our stars"
2012-08-18,12:36:00,22,"fault in our stars"
2012-08-18,12:52:00,23,"fault in our stars"
2012-08-20,18:43:00,21,"fault in our stars"
2012-08-20,19:39:00,27,"fault in our stars"
2012-08-21,14:23:00,15,"fault in our stars"
2012-08-21,18:36:00,20,"fault in our stars"
2012-08-21,16:40:00,20,"fault in our stars"
2012-08-21,16:27:00,29,"fault in our stars"
2012-08-22,15:53:00,13,"fault in our stars"
2012-08-22,16:30:00,13,"fault in our stars"
2012-08-22,11:14:00,15,"fault in our stars"
2012-08-22,11:43:00,20,"fault in our stars"
2012-08-22,14:46:00,24,"fault in our stars"
2012-08-23,19:40:00,11,"fault in our stars"
2012-08-23,16:40:00,26,"fault in our stars"
2012-08-24,17:36:00,17,"fault in our stars"
2012-08-24,14:43:00,22,"fault in our stars"
2012-08-25,10:12:00,11,"fault in our stars"
2012-08-25,13:18:00,12,"fault in our stars"
2012-08-25,11:25:00,16,"fault in our stars"
